# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 22:49:22.666
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005798,1.1643,-2.1675,-0.1098,2.46
0.005898,0.9790,-2.6037,0.0288,2.78
0.018598,0.7016,-2.9221,0.1841,3.01
0.024898,0.4476,-2.9768,0.0503,3.01
0.035956,0.2902,-2.8715,-0.2027,2.89
0.051116,0.3643,-2.8078,-0.3695,2.86
0.054138,0.6626,-2.7942,-0.5821,2.93
0.069575,0.8843,-2.7234,-0.7766,2.97
0.074693,0.9250,-2.6297,-0.9675,2.95
0.085878,0.8316,-2.6458,-1.1745,3.01
0.102900,0.7469,-2.7428,-1.4585,3.20
0.104236,0.5478,-2.8146,-1.7638,3.37
0.125954,0.1612,-2.7421,-2.0388,3.42
0.126211,-0.3032,-2.5902,-2.1671,3.39
0.141879,-0.7393,-2.4567,-2.1273,3.33
0.151751,-1.0522,-2.4000,-2.1031,3.36
0.154149,-1.0983,-2.3740,-2.0293,3.31
0.169026,-0.9872,-2.2914,-1.9604,3.17
0.174366,-0.8729,-2.0499,-1.8007,2.86
0.184944,-0.8290,-1.6977,-1.5835,2.47
0.202587,-0.9027,-1.2599,-1.3085,2.03
0.204857,-1.0846,-0.7873,-1.2094,1.81
0.219208,-1.1400,-0.3496,-1.1225,1.64
0.236061,-1.0535,0.0636,-0.6929,1.26
0.236250,-0.8704,0.6210,-0.1978,1.09
0.250127,-0.6076,1.1629,0.1551,1.32
0.254592,-0.3685,1.7161,0.3246,1.78
0.269433,-0.0978,2.1632,0.4752,2.22
0.281726,0.1321,2.4977,0.7928,2.62
0.285561,0.2432,2.6710,1.0959,2.90
0.303250,0.2522,2.7955,1.2055,3.05
0.304886,0.2655,2.8842,1.3352,3.19
0.318203,0.2371,2.9287,1.2485,3.19
0.330955,0.1998,2.9367,1.1824,3.17
0.334758,-0.0059,3.0299,1.2424,3.27
0.351629,-0.2583,3.1363,1.2228,3.38
0.354595,-0.4608,3.1561,1.1427,3.39
0.367977,-0.5281,3.0980,1.1553,3.35
0.384333,-0.5696,3.1021,1.2219,3.38
0.385156,-0.5781,3.0068,0.9574,3.21
0.400487,-0.5278,2.8564,0.6060,2.97
0.404787,-0.4515,2.8329,0.3089,2.89
0.415181,-0.2682,2.8697,-0.0321,2.88
0.431839,0.0313,2.8126,-0.4217,2.84
0.434855,0.1890,2.8492,-0.6854,2.94
0.448395,0.1186,2.9004,-0.8023,3.01
0.455117,0.0775,2.7981,-0.7893,2.91
0.471367,0.1531,2.6147,-0.5607,2.68
0.486500,0.3263,2.3470,-0.2963,2.39
0.486677,0.4657,2.1198,-0.0084,2.17
0.500730,0.4680,1.9543,0.1187,2.01
0.505449,0.3613,1.7967,0.1422,1.84
0.518541,0.1714,1.6294,0.1006,1.64
0.529900,-0.0230,1.4768,0.0559,1.48
0.535106,-0.2289,1.3539,0.0561,1.37
0.549426,-0.4682,1.2489,0.2323,1.35
0.555247,-0.5848,1.0658,0.5051,1.32
0.569054,-0.4847,0.7482,0.6088,1.08
0.578580,-0.2897,0.3918,0.5818,0.76
0.585376,-0.1580,0.1036,0.5325,0.57
0.596347,-0.1986,-0.0600,0.6215,0.66
0.605093,-0.2969,-0.2021,0.5501,0.66
0.615141,-0.3538,-0.3313,0.4022,0.63
0.629237,-0.4041,-0.3764,0.4560,0.72
0.635131,-0.5018,-0.3499,0.6037,0.86
0.646551,-0.8647,-0.2062,0.8073,1.20
0.655141,-1.1949,-0.1593,0.9191,1.52
0.669036,-1.1927,-0.3200,0.6089,1.38
0.684055,-1.0705,-0.4933,0.2905,1.21
0.685445,-0.8561,-0.5896,0.3057,1.08
0.697703,-0.5034,-0.6309,0.2352,0.84
0.705320,-0.2172,-0.5924,-0.1009,0.64
0.715490,-0.1095,-0.4509,-0.3272,0.57
0.731074,-0.0111,-0.2715,-0.3529,0.45
0.736124,-0.0103,-0.1072,-0.2255,0.25
