# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 22:44:01.558
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007537,0.9028,0.9274,0.9431,1.60
0.018848,0.8892,-0.6750,3.3088,3.49
0.029819,1.2661,-1.7187,2.3626,3.18
0.043627,1.9318,-2.1808,1.8488,3.45
0.048813,2.8232,-1.8158,1.8178,3.82
0.063882,1.9317,-1.3836,1.1894,2.66
0.078579,1.1770,-2.6798,0.2330,2.94
0.078990,0.8151,-2.5256,-4.3528,5.10
0.095009,0.5089,-0.8698,-6.9484,7.02
0.099490,-0.3680,1.1901,-6.1211,6.25
0.109699,-0.7531,2.1217,-5.3322,5.79
0.128043,-1.0096,2.7691,-4.0307,4.99
0.129054,-0.5483,2.5124,-2.4741,3.57
0.142545,0.7752,0.9512,-1.1347,1.67
0.151393,1.9870,-0.6334,0.0192,2.09
0.160858,2.2435,-1.3252,0.1243,2.61
0.180845,1.4592,-1.6241,-1.0483,2.42
0.180936,0.2165,-1.5817,-2.3758,2.86
0.192718,-1.0419,-0.8671,-3.2100,3.48
0.199065,-1.8692,0.4797,-2.2912,3.00
0.209210,-1.0482,1.3693,-0.0601,1.73
0.229017,1.6669,-0.1097,1.8056,2.46
0.229641,3.6363,-1.9257,3.1922,5.21
0.245116,3.4311,-2.2636,3.1803,5.20
0.249024,1.8161,-1.8696,1.7989,3.17
0.261787,0.0063,-1.9406,-0.5973,2.03
0.279559,-1.4392,-2.3513,-2.4600,3.69
0.279705,-2.4568,-2.5066,-4.7027,5.87
0.292556,-2.4154,-2.2197,-5.9773,6.82
0.299280,-1.8454,-1.4415,-6.2885,6.71
0.312697,-0.8276,-1.8877,-5.5875,5.96
0.329882,0.3965,-2.8736,-3.5268,4.57
0.330069,0.3829,-3.0414,-1.5027,3.41
0.350245,-1.7607,-2.8773,-0.8084,3.47
0.350429,-4.0220,-2.8752,-0.4628,4.97
0.365758,-4.7461,-2.9864,-0.1236,5.61
0.376029,-4.7876,-3.1373,0.1038,5.72
0.379450,-5.2361,-3.2452,-0.5221,6.18
0.393448,-6.3100,-3.4414,-1.9005,7.43
0.399689,-7.5668,-3.5840,-3.4832,9.07
0.409456,-8.3483,-3.4457,-5.2145,10.43
0.428436,-8.0234,-2.7573,-9.0439,12.40
0.430146,-6.2520,-3.3194,-7.7155,10.47
0.442131,-4.6523,-3.5582,-6.2401,8.56
0.449536,-4.2825,-3.4735,-3.7738,6.68
0.462622,-3.8925,-4.1240,-1.5259,5.87
0.479584,-2.3315,-4.7032,-0.3102,5.26
0.480446,-1.4435,-4.0866,0.7169,4.39
0.493652,-1.5174,-3.2015,0.9408,3.67
0.499811,-1.3487,-3.4201,0.0340,3.68
0.509976,1.2337,-4.2035,-1.3335,4.58
0.526048,4.8974,-3.6182,-2.3046,6.51
0.530202,7.1167,-2.1597,-1.5195,7.59
0.547342,7.9145,-1.4209,-0.1750,8.04
0.549830,7.4365,-1.3295,0.7873,7.60
0.559644,6.0709,-1.1111,1.1881,6.29
0.576579,4.2742,-1.1040,1.0317,4.53
0.580799,3.0120,-1.6342,0.7508,3.51
0.592138,3.1999,-1.8723,0.3171,3.72
0.600039,4.9371,-1.7240,-0.0233,5.23
0.612622,6.7467,-1.6662,-0.2450,6.95
0.625754,7.1921,-2.0654,-0.5143,7.50
0.630450,7.0438,-2.1273,0.1400,7.36
0.646703,7.2502,-1.5131,0.5051,7.42
0.650448,7.2788,-1.2580,0.1968,7.39
0.660210,6.8994,-1.0187,-0.3373,6.98
0.679204,6.3741,-0.8365,-0.5293,6.45
0.680546,6.3559,-0.7170,-0.1759,6.40
0.697063,6.6941,-0.7391,0.1587,6.74
0.700153,6.6021,-1.1620,0.3703,6.71
0.710167,5.6458,-2.0572,0.6796,6.05
0.732562,4.5677,-2.1487,1.0965,5.17
0.732779,4.1737,-1.0339,1.4731,4.55
0.746767,4.1166,-0.5322,1.4654,4.40
