# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 22:50:05.102
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006272,0.0762,-0.0786,-0.9710,0.98
0.026274,0.0816,0.2326,0.0672,0.26
0.040084,0.1113,0.1831,0.1411,0.26
0.065854,0.1389,0.0783,0.2332,0.28
0.081082,0.1898,0.0573,0.1208,0.23
0.100649,0.1947,0.0294,0.0774,0.21
0.100825,0.1467,-0.0015,0.1362,0.20
0.110057,0.0551,-0.0361,0.2843,0.29
0.135932,-0.0045,-0.0685,0.2757,0.28
0.153053,-0.1071,-0.1451,0.1508,0.24
0.168078,-0.0948,-0.1205,0.0872,0.18
0.168851,-0.0667,-0.0586,-0.0176,0.09
0.184460,-0.0328,-0.0031,-0.1494,0.15
0.201571,-0.0003,0.0427,-0.2729,0.28
0.201685,0.0241,0.0512,-0.3341,0.34
0.207868,0.0455,0.0749,-0.3718,0.38
0.216556,0.0551,0.0709,-0.3983,0.41
0.231185,0.0538,0.0583,-0.3994,0.41
0.250319,0.0506,0.0643,-0.2928,0.30
0.250414,0.0775,0.0672,-0.2238,0.25
0.267420,0.1066,0.0734,-0.2081,0.25
0.267515,0.1217,0.0852,-0.1412,0.20
0.276711,0.1467,0.0788,-0.1062,0.20
0.286223,0.1232,0.0901,-0.0795,0.17
0.308810,0.1163,0.0934,-0.0961,0.18
0.308997,0.1029,0.0681,-0.0922,0.15
0.341110,0.1238,0.0686,-0.1150,0.18
0.356329,0.2932,0.0937,-0.0383,0.31
0.368380,0.1167,0.0622,0.0772,0.15
0.384043,-0.0069,0.0228,0.1235,0.13
0.400765,-0.0987,-0.0169,0.1319,0.17
0.400866,-0.1790,-0.0711,0.1618,0.25
0.416767,-0.2200,-0.0999,0.2956,0.38
0.417106,-0.2105,-0.1020,0.3902,0.45
0.434716,-0.1756,-0.0902,0.3804,0.43
0.453140,-0.1332,-0.0981,0.3410,0.38
0.469665,-0.0651,-0.0798,0.2592,0.28
0.486384,-0.0199,-0.0510,0.0952,0.11
0.486586,-0.0338,-0.0406,0.0228,0.06
0.503137,-0.0681,-0.0327,0.0390,0.09
0.518954,-0.0836,-0.0341,-0.0086,0.09
0.519109,-0.0803,-0.0188,-0.0083,0.08
0.535764,-0.0909,-0.0104,0.0040,0.09
0.535912,-0.0883,-0.0308,-0.0003,0.09
0.546905,-0.0623,-0.0488,0.0285,0.08
0.556900,-0.0276,-0.0575,0.0758,0.10
0.574072,-0.0054,-0.0357,0.0872,0.09
0.577193,0.0187,-0.0006,0.0678,0.07
0.587419,0.0686,0.0122,0.0488,0.09
0.607113,0.0755,0.0123,-0.0168,0.08
0.607261,0.0730,0.0072,0.0107,0.07
0.618991,0.0652,0.0134,0.0356,0.08
0.626689,0.0290,0.0214,0.0790,0.09
0.636541,0.0266,0.0240,0.1289,0.13
0.651877,0.0292,0.0091,0.1335,0.14
0.656486,0.0350,-0.0018,0.0745,0.08
0.673903,0.0490,-0.0162,0.0309,0.06
0.676555,0.0325,-0.0147,-0.0212,0.04
0.686642,0.0256,0.0054,-0.0677,0.07
0.705344,0.0157,0.0160,-0.1016,0.10
0.706605,0.0405,0.0301,-0.1682,0.18
0.723712,0.0722,0.0175,-0.2648,0.28
0.727218,0.1117,0.0053,-0.3228,0.34
0.740856,0.1027,0.0249,-0.3078,0.33
0.752126,0.0732,0.0263,-0.2326,0.25
0.757548,0.0417,0.0279,-0.1027,0.11
0.775004,0.0211,0.0167,0.0790,0.08
0.777999,0.0371,0.0025,0.1614,0.17
0.787054,0.0726,-0.0277,0.1369,0.16
0.801068,0.0937,-0.0391,0.1109,0.15
0.806898,0.1076,-0.0175,0.1047,0.15
0.817837,0.0851,-0.0047,0.0329,0.09
0.827084,0.0730,0.0195,-0.0377,0.08
0.837329,0.0610,0.0256,-0.1168,0.13
0.854769,0.0559,0.0264,-0.1103,0.13
0.856656,0.0574,0.0100,-0.1041,0.12
0.869082,0.0614,-0.0119,-0.0866,0.11
0.877196,0.0349,-0.0349,0.0082,0.05
0.891838,-0.0353,-0.0319,0.1628,0.17
0.903028,-0.0932,-0.0184,0.2187,0.24
0.907042,-0.0936,-0.0148,0.1709,0.20
0.918978,-0.0736,-0.0471,0.1009,0.13
0.927471,-0.0465,-0.0577,0.0609,0.10
0.937432,-0.0288,-0.0342,0.0337,0.06
0.954360,-0.0350,0.0008,-0.0167,0.04
0.957090,-0.0478,0.0506,-0.0642,0.09
0.970441,-0.0404,0.0660,-0.1019,0.13
0.987851,-0.0343,0.0690,-0.0783,0.11
0.987990,-0.0278,0.0566,-0.0483,0.08
1.002496,-0.0023,0.0145,-0.0307,0.03
1.008351,-0.0007,0.0230,0.0172,0.03
1.020288,-0.0176,0.0216,0.0242,0.04
1.035750,-0.0409,0.0126,0.0430,0.06
1.038356,-0.0684,-0.0061,0.0946,0.12
1.052140,-0.0820,-0.0138,0.1244,0.15
1.058833,-0.0821,-0.0158,0.1564,0.18
1.069535,-0.0808,-0.0148,0.1648,0.18
1.085201,-0.0799,-0.0415,0.1734,0.20
1.087498,-0.0730,-0.0507,0.1635,0.19
1.105048,-0.0524,-0.0616,0.1260,0.15
1.108012,-0.0343,-0.0500,0.0563,0.08
1.118752,-0.0352,-0.0205,0.0397,0.06
1.136856,-0.0084,-0.0034,-0.0118,0.01
1.137531,0.0386,0.0181,-0.0648,0.08
1.153359,0.0675,0.0304,-0.0793,0.11
1.158006,0.0831,0.0173,-0.1313,0.16
1.174319,0.0698,0.0172,-0.1498,0.17
1.183258,0.0520,0.0136,-0.1186,0.13
1.188570,0.0223,0.0090,-0.1213,0.12
1.201497,-0.0068,0.0034,-0.1313,0.13
1.207337,-0.0064,-0.0081,-0.0895,0.09
1.223337,0.0116,-0.0162,-0.0416,0.05
1.232565,0.0163,-0.0028,0.0030,0.02
1.237758,0.0360,-0.0017,0.0281,0.05
1.249461,0.0273,0.0203,0.0952,0.10
1.258046,0.0153,0.0244,0.1331,0.14
1.270096,0.0051,0.0082,0.1072,0.11
1.283747,-0.0312,-0.0114,0.0892,0.10
1.287692,-0.0489,-0.0154,0.0411,0.07
1.302518,-0.0335,-0.0109,-0.0037,0.04
1.309132,-0.0183,-0.0206,-0.0547,0.06
1.317916,0.0135,-0.0109,-0.1097,0.11
1.337264,0.0431,-0.0025,-0.1359,0.14
1.337486,0.0394,0.0240,-0.0866,0.10
1.355355,0.0330,0.0348,-0.0172,0.05
1.358458,0.0288,0.0365,0.0039,0.05
1.372636,0.0390,0.0099,-0.0037,0.04
1.385977,0.0686,-0.0122,-0.0086,0.07
1.389329,0.0654,-0.0227,0.0125,0.07
1.402779,0.0061,-0.0242,0.0404,0.05
1.409947,-0.0308,-0.0119,0.0490,0.06
1.419007,-0.0290,-0.0186,0.0199,0.04
1.434510,-0.0170,-0.0323,-0.0112,0.04
1.438252,0.0095,-0.0362,-0.0419,0.06
1.452523,0.0120,-0.0279,-0.0485,0.06
1.458745,0.0013,0.0041,0.0038,0.01
1.470948,-0.0154,0.0263,0.0130,0.03
1.486614,-0.0279,0.0266,0.0103,0.04
1.488401,-0.0256,0.0102,0.0100,0.03
1.500554,-0.0178,0.0031,-0.0067,0.02
1.508272,-0.0067,-0.0040,-0.0231,0.02
1.520397,0.0141,0.0128,-0.0041,0.02
1.536342,0.0153,0.0414,0.0123,0.05
1.538066,0.0065,0.0319,0.0237,0.04
1.554641,0.0234,0.0250,-0.0193,0.04
1.558162,0.0189,0.0113,-0.0686,0.07
1.570112,0.0405,-0.0045,-0.0889,0.10
1.583535,0.0550,-0.0073,-0.0949,0.11
1.588413,0.0625,0.0024,-0.1152,0.13
1.602838,0.0750,0.0085,-0.1425,0.16
1.608867,0.0804,-0.0006,-0.1060,0.13
1.618342,0.0472,0.0080,-0.0396,0.06
1.631653,0.0280,0.0029,0.0043,0.03
1.639109,0.0215,-0.0140,-0.0185,0.03
1.649524,0.0311,-0.0285,-0.0268,0.05
1.659043,0.0347,-0.0426,-0.0067,0.06
1.668588,0.0262,-0.0277,0.0576,0.07
1.683826,-0.0071,-0.0060,0.0974,0.10
1.689948,-0.0150,-0.0040,0.1203,0.12
1.701524,-0.0252,-0.0041,0.1102,0.11
1.708788,-0.0203,-0.0225,0.0794,0.08
1.718865,-0.0214,-0.0231,0.0399,0.05
1.734611,-0.0336,0.0084,0.0107,0.04
1.739380,-0.0395,0.0350,-0.0086,0.05
1.752603,-0.0303,0.0453,-0.0018,0.05
1.759238,-0.0010,0.0446,-0.0212,0.05
1.769462,0.0112,0.0254,-0.0473,0.05
1.784026,0.0141,0.0139,-0.0378,0.04
1.788976,-0.0188,0.0241,-0.0237,0.04
1.801387,-0.0607,0.0320,-0.0264,0.07
1.810165,-0.0642,0.0330,-0.0315,0.08
1.819797,-0.0484,0.0198,-0.0224,0.06
1.834503,-0.0439,-0.0120,-0.0087,0.05
1.839239,-0.0347,-0.0222,0.0024,0.04
1.851235,-0.0119,-0.0276,-0.0103,0.03
1.859642,-0.0064,-0.0209,-0.0133,0.03
1.869516,-0.0180,-0.0070,-0.0304,0.04
1.886337,-0.0038,-0.0139,-0.0473,0.05
1.889531,-0.0132,-0.0062,-0.0641,0.07
1.901595,-0.0061,-0.0143,-0.0171,0.02
1.909657,-0.0038,-0.0148,-0.0039,0.02
1.919188,0.0061,-0.0036,0.0067,0.01
