# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 22:56:13.223
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.008422,0.0086,-0.2613,0.1714,0.31
0.019455,0.0187,0.3618,0.1458,0.39
0.029011,0.0425,0.4344,0.2790,0.52
0.044594,0.0703,0.4902,0.2779,0.57
0.049192,-0.0027,0.5946,0.2761,0.66
0.062893,-0.0755,0.2469,0.1525,0.30
0.069995,-0.2052,0.0329,-0.0537,0.21
0.080194,-0.2342,-0.1304,-0.4415,0.52
0.096988,-0.1127,-0.2315,-0.5083,0.57
0.100443,-0.0899,0.2717,-0.1957,0.35
0.111585,0.1161,0.4911,-0.3784,0.63
0.133410,0.6147,-0.1789,-0.3429,0.73
0.133546,0.5515,-0.3172,0.0026,0.64
0.150338,0.0073,-0.1414,0.3033,0.33
0.150501,-0.3109,-0.2828,0.5302,0.68
0.166419,0.0127,-0.2567,1.7786,1.80
0.180278,-0.0879,-0.0901,0.1017,0.16
0.180411,-0.1481,0.4244,0.1296,0.47
0.198195,-0.0993,1.4530,0.1735,1.47
0.199421,0.4455,2.1216,-0.5917,2.25
0.214259,-0.2098,1.0219,1.7479,2.04
0.219465,0.5259,-0.6316,-0.0840,0.83
0.230458,0.6646,-0.2719,0.2551,0.76
0.247732,0.1654,0.4885,0.8656,1.01
0.250430,-0.0218,0.6775,0.4066,0.79
0.266661,-0.2380,0.8782,0.2343,0.94
0.269753,-0.5381,1.2394,0.8238,1.58
0.282723,-1.2858,2.2794,3.7892,4.61
0.304890,-0.2302,1.9134,0.9968,2.17
0.305085,0.7908,1.4943,0.5475,1.78
0.315411,1.1950,1.7342,0.6696,2.21
0.327814,-0.1595,2.2211,1.3696,2.61
0.329914,-1.6040,2.6261,0.6856,3.15
0.344709,-1.8892,2.8664,1.0305,3.58
0.353030,-2.0315,2.2057,1.0534,3.18
0.365181,0.7549,-3.5233,2.7439,4.53
0.377433,1.1152,-1.8904,2.6025,3.40
0.380048,1.2649,2.3578,2.6325,3.75
0.394135,1.6286,2.4306,4.1961,5.12
0.399838,1.9974,1.5865,3.4601,4.30
0.409629,1.3417,1.6615,1.9076,2.86
0.425502,0.4143,1.6264,0.5795,1.78
0.430241,-0.7305,1.4352,-0.3101,1.64
0.442193,-2.2371,1.7542,-0.4213,2.87
0.449830,-4.0553,2.5429,0.1645,4.79
0.461596,-5.4119,2.6367,-0.2168,6.02
0.484451,-6.7039,1.9660,-0.5654,7.01
0.484629,-7.0930,1.2876,-0.6822,7.24
0.496209,-6.8327,1.6196,-1.0560,7.10
0.500817,-6.9194,3.1026,-1.2844,7.69
0.510041,-6.3201,3.8977,-0.9158,7.48
0.527359,-5.0987,3.1641,-0.4267,6.02
0.530061,-3.5755,1.2921,-0.7132,3.87
0.545129,-2.0873,-0.3102,-1.8089,2.78
0.550154,-0.8880,-0.3860,-4.1630,4.27
0.562248,0.9079,-0.7288,-11.2053,11.27
0.576371,1.5361,-0.3891,-13.8495,13.94
0.580314,1.6876,0.4990,-9.9622,10.12
0.596606,2.2123,0.9600,-3.8458,4.54
0.600530,2.4078,0.8963,1.4979,2.97
