# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 23:02:20.979
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016022,0.1862,0.0062,0.1107,0.22
0.017967,0.2519,0.1047,-0.0189,0.27
0.028653,0.2120,0.0381,-0.0750,0.23
0.046277,0.1060,0.0682,0.2761,0.30
0.048699,0.1314,0.0808,1.0187,1.03
0.064218,0.1277,0.2725,1.2152,1.25
0.069211,0.3979,0.1410,0.2062,0.47
0.079857,0.3271,-0.0622,-0.3834,0.51
0.095227,-0.7988,2.8108,0.9358,3.07
0.098233,-0.0659,1.3947,1.1393,1.80
0.109585,0.8073,-0.8698,0.0287,1.19
0.119598,0.6577,-1.1564,-0.5151,1.43
0.130141,0.2491,-1.3299,-1.1543,1.78
0.148012,0.2540,-1.2175,-0.7937,1.48
0.148427,0.4521,-0.9774,0.1761,1.09
0.163361,0.6697,-0.7429,0.7327,1.24
0.169338,0.8041,-0.5332,0.3156,1.02
0.180207,0.5040,-0.0099,0.2132,0.55
0.193919,0.3412,0.2505,0.4546,0.62
0.198465,0.1679,-0.2734,0.5555,0.64
0.211129,-0.1790,-0.4065,-0.3124,0.54
0.218445,-0.2137,-0.1503,-0.1308,0.29
0.231492,-0.3584,0.4844,-0.0010,0.60
0.246189,-0.4397,1.2420,0.2967,1.35
0.248565,-0.1412,1.0936,-0.1011,1.11
0.263806,-0.1774,0.7929,-1.1902,1.44
0.268172,-0.1812,0.8575,-0.9560,1.30
0.278878,-0.2586,0.5757,-0.5997,0.87
0.295726,-0.3818,0.6261,-0.0240,0.73
0.299142,-0.5514,0.6384,-0.6108,1.04
0.312997,-0.5873,0.5395,-0.7355,1.08
0.320002,-0.5599,0.5262,-0.3886,0.86
0.333083,-0.4608,0.4354,0.4116,0.76
0.344741,-0.4194,0.3909,1.0225,1.17
0.349276,-0.5462,0.3484,1.6240,1.75
0.359239,-0.7588,0.3907,1.8268,2.02
0.368666,-0.9839,0.5391,1.8335,2.15
0.378902,-1.5389,0.7650,1.4469,2.25
0.401906,-1.8479,0.0962,0.8408,2.03
0.419430,0.8131,0.8515,2.2634,2.55
0.429028,-0.0430,0.6053,0.7398,0.96
0.451664,-1.2812,0.7533,-1.1414,1.87
0.451856,-1.3595,0.7811,-2.0519,2.58
0.463932,-1.1165,0.7821,-2.1035,2.51
0.469492,-0.6988,0.4738,-1.6340,1.84
0.481079,-1.0528,0.6481,-0.8210,1.48
0.499847,-1.2276,0.9186,0.0954,1.54
0.500038,-1.3577,1.1371,0.6499,1.89
0.514664,-1.9276,1.6771,0.5545,2.61
0.527471,-2.2434,2.1579,0.1023,3.11
0.528925,-2.7604,2.0301,-0.6828,3.49
0.548320,-3.5515,1.8453,-0.2436,4.01
0.549542,-4.4261,1.7481,0.7540,4.82
0.561197,-5.3004,1.6101,0.6630,5.58
0.575652,-5.4112,1.0632,0.0794,5.52
0.580928,-5.0962,0.5609,-0.2631,5.13
0.594073,-4.3833,0.4600,-0.5771,4.45
0.599078,-4.2447,0.8045,-1.7598,4.66
0.610449,-4.3840,1.8655,-2.3312,5.30
0.627702,-3.6285,2.9651,-2.3495,5.24
0.629811,-2.0509,3.3474,-2.3502,4.58
0.644609,-0.0226,3.7015,-1.7959,4.11
0.649760,1.3993,3.6465,-0.7698,3.98
0.660489,2.5148,2.8481,-0.6086,3.85
0.677143,4.5284,0.5031,-2.3685,5.14
0.680232,7.0577,-3.0559,-8.6316,11.56
0.694971,6.0997,-3.4213,-8.9061,11.32
0.700015,4.4614,-2.4806,-5.7598,7.70
0.714787,3.6087,-2.2282,-2.0838,4.73
0.730260,2.6852,-2.3542,-0.2018,3.58
0.730384,1.7092,-2.9452,-0.1429,3.41
0.745746,1.3664,-3.1340,-0.6949,3.49
0.750162,0.9722,-2.4345,-1.1378,2.86
0.759762,0.7437,-1.0915,-1.2964,1.85
0.778979,0.4452,0.6551,-1.3596,1.57
0.779705,0.2953,1.5527,-1.5643,2.22
