# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 23:05:32.065
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006398,0.2594,-0.2483,-0.1425,0.39
0.017513,-0.0468,-0.3835,-0.2833,0.48
0.032579,0.0917,-0.1885,0.0605,0.22
0.048410,-0.1603,0.4294,-0.1111,0.47
0.051865,-0.0503,0.4138,0.1679,0.45
0.062090,0.1316,0.1506,0.1620,0.26
0.079194,0.2463,-0.2257,0.2668,0.43
0.081705,0.1617,-0.2526,0.0796,0.31
0.093802,0.0492,-0.0642,-0.0521,0.10
0.101336,-0.0413,0.2566,0.0591,0.27
0.111561,-0.0662,0.5571,-0.0608,0.56
0.127396,-0.0329,0.5778,-0.3217,0.66
0.131668,0.0012,0.3021,-0.4610,0.55
0.147737,0.0321,-0.0229,-0.4346,0.44
0.151807,-0.8202,-0.0773,0.8850,1.21
0.162178,-0.3553,0.0643,-0.2437,0.44
0.175969,1.0870,0.0918,-0.6542,1.27
0.182358,0.3397,0.6768,0.2746,0.81
0.198592,0.3458,0.8494,0.6675,1.13
0.203551,-0.2473,0.7687,2.0371,2.19
0.216864,-1.0654,0.2894,1.5953,1.94
0.232605,-0.1536,-0.4562,1.0595,1.16
0.232726,0.8917,-0.8921,0.6555,1.42
0.246705,1.0437,-1.0327,0.2303,1.49
0.252632,0.6906,-1.0180,-0.7903,1.46
0.264493,0.3828,-0.9262,-1.2108,1.57
0.277346,0.0772,-0.3176,-1.4177,1.45
0.282060,0.0047,0.3800,-0.7934,0.88
0.294697,-0.0711,0.6227,-0.3030,0.70
0.302371,0.1382,0.0261,-0.8971,0.91
0.314323,0.2583,-0.4894,-0.9992,1.14
0.328314,-0.0174,-0.3445,-1.2220,1.27
0.332458,-0.2944,0.0729,-1.3819,1.41
0.347906,-0.3638,0.4423,-1.3659,1.48
0.352997,-0.2044,0.8413,-0.6231,1.07
0.363240,-0.1528,0.7123,0.8534,1.12
0.384465,-0.0705,0.6272,0.2860,0.69
0.384625,0.1002,0.6083,0.0466,0.62
0.397210,0.1346,0.2010,0.3608,0.43
0.411961,0.1168,0.3076,1.3026,1.34
0.412447,0.1677,0.5490,0.7337,0.93
0.427512,-0.1421,0.5902,0.3056,0.68
0.433230,-0.6054,0.9123,0.5265,1.21
0.446749,-0.9930,1.3523,0.5358,1.76
0.452491,-1.2570,1.1855,1.3889,2.22
0.462715,-2.0499,1.0187,1.0412,2.51
0.477427,-3.1506,0.9907,-0.4003,3.33
0.482655,-3.0332,1.2485,-2.2102,3.96
0.493009,-1.6103,1.0195,-1.8920,2.69
0.513898,-0.8512,0.2942,-0.8555,1.24
0.514012,-0.2086,-0.2962,0.4776,0.60
0.527651,-0.3682,-0.1706,1.1693,1.24
0.533609,-0.5440,0.1889,2.3999,2.47
0.543012,-0.9269,0.2340,3.0030,3.15
0.560772,-1.0104,0.4348,2.6843,2.90
0.562530,-1.0062,0.7993,0.9258,1.58
0.575612,-0.7637,1.0840,-0.0583,1.33
0.583070,-0.8829,1.2574,-1.7083,2.30
0.593697,-1.4886,1.1409,-2.3538,3.01
0.614598,-1.6654,1.2234,-2.5837,3.31
0.614715,-1.7948,1.2652,-1.9063,2.91
0.626351,-1.5365,1.2866,-0.4504,2.05
0.633059,-1.7128,1.5907,0.1369,2.34
0.644148,-1.6844,2.0849,-0.3638,2.70
0.664652,-1.0673,2.3070,-0.2970,2.56
0.664775,-0.0813,2.2606,0.4932,2.32
0.678018,0.7802,1.7941,1.4083,2.41
0.683323,1.1142,1.0047,2.0079,2.51
0.698488,1.0768,0.0471,2.0309,2.30
0.710194,0.7036,-0.2580,1.7308,1.89
0.712649,-0.0724,-0.0982,1.2398,1.25
0.729909,-0.1304,0.4556,1.0153,1.12
0.732785,-0.0085,0.7433,1.2246,1.43
0.742945,-0.4898,0.6169,1.1670,1.41
0.761167,-0.8063,0.3080,1.1732,1.46
0.763239,-0.9034,-0.0339,0.9015,1.28
0.776860,-1.1968,-0.5532,-0.5824,1.44
0.783576,-0.6472,-1.9541,-3.3920,3.97
0.794136,-0.2248,-2.7473,-5.4320,6.09
0.810227,0.0473,-2.9340,-5.5073,6.24
0.813370,0.5135,-2.7180,-4.8507,5.58
0.830483,0.8788,-2.2881,-3.3163,4.12
0.833681,0.7198,-1.5247,-1.2907,2.12
0.844344,0.2739,-0.5336,0.2521,0.65
0.866854,-0.4436,0.3947,0.6544,0.88
0.877892,-1.2506,0.5772,-0.0931,1.38
0.894107,-0.3453,-1.7533,0.1547,1.79
0.912752,-0.4034,-2.0187,-0.0920,2.06
0.913345,-0.3757,-1.5362,-0.1101,1.59
0.927233,-0.0001,-0.8980,-0.4923,1.02
0.934639,0.6904,-0.5869,-0.9074,1.28
0.944877,1.6500,-0.5424,-1.1161,2.06
0.961016,2.6259,-0.2706,-1.0106,2.83
0.963982,2.5734,-0.0609,-1.1468,2.82
0.976722,2.0204,0.3796,-1.2286,2.39
0.984513,1.5125,0.9591,-1.1605,2.13
0.998029,1.1228,0.9396,-1.4690,2.07
1.010219,0.8685,0.4439,-2.0078,2.23
1.014426,0.4900,0.0884,-2.1862,2.24
1.026975,-0.5160,0.8730,-1.7397,2.01
1.033568,-1.6672,2.2706,-1.2161,3.07
1.043630,-1.8581,2.1583,-0.5915,2.91
1.064943,-1.5534,1.5656,0.2016,2.21
1.065100,-1.1300,1.4228,0.8129,1.99
1.080229,-1.3755,2.2531,1.2280,2.91
1.084502,-2.2672,4.1155,0.8687,4.78
1.093644,-2.6073,5.2103,0.1021,5.83
1.103862,-2.2576,5.1726,-0.9449,5.72
1.113840,-1.5759,4.3666,-1.9170,5.02
1.124870,-0.9439,3.3030,-2.8740,4.48
1.133583,-0.2184,1.7290,-3.5324,3.94
1.143935,0.4204,-0.3464,-3.6597,3.70
1.159204,1.6194,-3.1835,-3.5907,5.06
1.163988,3.0472,-6.6600,-3.0035,7.92
1.175027,4.2154,-9.7915,-2.6465,10.98
1.184349,5.8539,-14.5597,-2.1643,15.84
1.194250,6.7154,-18.4130,-2.5969,19.77
1.209569,7.1698,-20.0545,-3.5442,21.59
1.214529,7.0763,-18.3043,-3.7656,19.98
1.225969,5.5386,-12.6930,-3.3843,14.26
1.234888,3.9651,-7.3574,-2.7391,8.80
1.251187,2.8745,-3.7837,-3.0176,5.63
1.259936,2.3855,-1.5521,-3.6761,4.65
1.264097,2.3004,-0.4856,-4.5068,5.08
1.277434,2.2924,0.0118,-5.5820,6.03
1.284197,2.3414,-0.1578,-7.0454,7.43
1.295082,2.3623,-0.8977,-7.5163,7.93
1.309437,1.9896,-1.5640,-6.3486,6.83
1.314886,1.1640,-1.9878,-3.6813,4.34
1.327994,-0.0861,-2.2796,0.5469,2.35
1.343652,-1.3165,-1.9979,5.9255,6.39
1.344070,-2.5516,-1.2202,11.5868,11.93
1.357164,-3.2891,-0.8761,14.7793,15.17
1.365141,-3.0583,-1.3030,14.1253,14.51
1.377568,-2.7188,-1.5832,11.3982,11.82
1.394491,-2.5264,-1.5324,8.5163,9.01
1.394679,-2.7663,-1.1787,6.4523,7.12
1.415373,0.0406,-1.4083,-3.5715,3.84
1.415543,6.1869,-2.4980,-12.7730,14.41
1.429812,7.6280,-2.5394,-9.0374,12.10
1.443413,6.2910,-2.0568,-2.1001,6.94
1.444221,4.3906,-1.4857,2.8146,5.42
1.457225,1.1646,-0.4401,4.4303,4.60
1.464968,-1.3912,0.3179,4.9861,5.19
1.475122,-3.3131,0.7110,4.3933,5.55
1.491921,-4.1197,0.0078,2.3852,4.76
1.494721,-3.9223,-0.6670,1.6263,4.30
1.512587,-3.9977,-0.8294,1.1636,4.25
1.514584,-4.6978,-0.6911,1.1537,4.89
1.526097,-5.5624,-0.2964,1.9390,5.90
1.541512,-6.3812,0.0667,2.6346,6.90
1.545100,-6.9706,0.5007,2.8977,7.57
1.562288,-7.2987,0.9836,2.7934,7.88
1.564961,-7.4993,1.5729,2.5388,8.07
1.575502,-7.4498,2.1987,2.4083,8.13
1.590776,-6.9974,2.6968,2.2520,7.83
1.595667,-6.6299,3.4951,2.0620,7.77
1.612068,-6.0053,3.9386,1.9288,7.44
1.614685,-4.8615,3.8615,1.9999,6.52
1.627846,-3.6308,3.6576,2.0804,5.56
1.642315,-2.1208,3.0818,2.4192,4.46
1.645157,-1.0148,2.5409,2.2846,3.56
1.661493,-0.5261,2.2342,1.8969,2.98
1.665410,-0.5794,2.1994,1.6545,2.81
1.678823,-0.9196,2.2983,1.7098,3.01
1.691265,-1.1480,2.2129,1.9344,3.16
1.695263,-1.0646,1.7803,2.0911,2.95
1.710166,-0.7266,1.1869,1.9464,2.39
1.715313,-0.4674,0.7496,1.4772,1.72
1.727568,-0.3622,0.6147,0.3063,0.78
1.742280,-0.3373,0.6940,-1.3805,1.58
1.745280,-0.8579,0.5159,-2.9139,3.08
1.756440,-1.8997,-0.3599,-3.2687,3.80
1.766296,-3.3788,-1.4481,-3.4790,5.06
1.779352,-4.9631,-2.2005,-3.5809,6.50
1.794162,-5.7914,-2.7672,-1.8640,6.68
1.795218,-5.7150,-3.3070,2.4418,7.04
1.809076,-4.7496,-3.7490,6.3374,8.76
1.815943,-3.7925,-4.2242,6.6499,8.74
1.826000,-2.8729,-4.7207,5.5781,7.85
1.844601,-1.9841,-5.0843,4.4998,7.07
1.846206,-0.6617,-5.1143,2.6671,5.81
1.860823,0.5873,-4.3311,0.7262,4.43
1.865259,0.8881,-2.9745,-0.2199,3.11
1.875875,0.5059,-1.7294,0.3305,1.83
1.891583,0.3001,-1.1611,1.0065,1.57
1.895097,0.3439,-1.0873,0.9650,1.49
1.905383,0.2871,-1.0637,0.2512,1.13
1.915096,0.7817,-1.4169,-1.0940,1.95
1.925307,1.2269,-1.4879,-1.9908,2.77
1.939704,1.1495,-1.1843,-2.0529,2.63
1.945393,0.5781,-0.7127,-1.6718,1.91
1.956052,0.2166,-0.4430,-1.1490,1.25
1.965447,0.1008,-0.0430,-0.4400,0.45
1.976464,0.0632,0.4802,0.1505,0.51
1.989835,-0.0313,1.0153,0.3590,1.08
1.995378,-0.2008,1.6622,0.5440,1.76
2.006802,-0.5023,2.2382,0.3216,2.32
2.015702,-0.8200,2.7620,-0.0583,2.88
2.025433,-1.0052,3.1367,-0.3749,3.32
2.038123,-0.9118,3.2264,-0.6143,3.41
2.045338,-0.5393,3.0545,-0.5626,3.15
2.055907,-0.0860,2.6830,-0.3779,2.71
2.065344,0.4896,2.0232,-0.0137,2.08
2.075956,0.9469,1.4623,0.2891,1.77
2.090905,1.2371,1.2013,0.3574,1.76
2.095518,1.3877,1.0583,-0.0260,1.75
2.107726,1.6572,0.9661,-0.5550,2.00
2.116043,1.9323,0.8100,-0.9687,2.31
2.126283,2.2824,0.4896,-1.1151,2.59
2.139685,2.4172,0.1608,-0.8277,2.56
2.145878,2.4566,-0.1212,-0.0381,2.46
2.156119,2.4607,-0.5377,0.4203,2.55
2.165892,2.4860,-1.2244,0.4685,2.81
2.175941,2.5972,-2.0206,0.1866,3.30
2.188426,2.7712,-2.6635,-0.0200,3.84
2.195669,2.9732,-3.1241,-0.2638,4.32
2.206599,3.1922,-3.3684,-0.3688,4.66
2.216047,3.3982,-3.4245,-0.4159,4.84
2.226413,3.4711,-3.2568,-0.4052,4.78
2.239064,3.3160,-3.0163,-0.4342,4.50
2.246250,3.0297,-2.9410,-0.6851,4.28
2.256252,2.7352,-3.1180,-1.0676,4.28
2.265834,2.5116,-3.5095,-1.5834,4.60
2.276473,2.3542,-3.8520,-2.1283,4.99
2.290699,2.3533,-4.3520,-3.0833,5.83
2.295979,2.5354,-5.1475,-5.3823,7.87
2.306573,2.9424,-6.1660,-8.9778,11.28
2.322110,3.4278,-6.5795,-8.9918,11.66
2.326385,3.6618,-5.9642,-8.0380,10.66
2.340322,3.3408,-4.4497,-6.7582,8.75
2.346948,2.8210,-2.9445,-6.2388,7.45
2.356115,2.7550,-2.0134,-5.7135,6.65
2.373048,2.6065,-1.6808,-4.7069,5.64
2.376378,2.4531,-1.7930,-3.6522,4.75
2.390085,2.3598,-2.2796,-2.8939,4.37
2.396181,1.8916,-2.7546,-0.2585,3.35
2.409703,0.9548,-3.0109,3.7242,4.88
2.416806,-0.2640,-3.1223,6.9794,7.65
2.426679,-1.1814,-3.2641,8.8026,9.46
2.440761,-1.8692,-3.6743,9.2819,10.16
2.446763,-2.1826,-4.4818,9.0898,10.37
2.456912,-2.5104,-5.0195,7.5160,9.38
2.472662,-3.2752,-4.4287,4.6030,7.18
2.476522,-4.0339,-2.7146,-1.1133,4.99
2.490840,-3.1640,-1.3655,-5.9393,6.87
2.496571,-1.2495,-0.5603,-5.2138,5.39
2.506766,0.5323,-0.0215,-2.8609,2.91
2.522370,0.4065,0.5617,-2.0454,2.16
