# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 23:10:32.517
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005340,-0.0474,-0.0551,-1.0180,1.02
0.016941,0.1783,-0.3293,-1.4535,1.50
0.029662,0.3615,-0.2086,-1.3074,1.37
0.035393,0.3029,-0.0834,-0.7435,0.81
0.048216,0.0555,0.1146,-0.3008,0.33
0.060858,-0.1905,0.3754,-0.0366,0.42
0.064959,-0.2014,0.3570,-0.1084,0.42
0.077931,-0.0579,0.2050,-0.4436,0.49
0.085660,0.0582,0.0208,-0.7114,0.71
0.099714,0.1455,-0.0745,-0.7227,0.74
0.116318,0.2399,-0.0688,-0.5472,0.60
0.116437,0.2420,-0.0441,-0.2832,0.38
0.128337,0.1300,0.0362,-0.0098,0.14
0.135695,0.0235,0.1933,0.2395,0.31
0.150915,-0.1337,0.3437,0.4145,0.55
0.166488,-0.2890,0.3700,0.4509,0.65
0.166605,-0.3035,0.2642,0.3657,0.54
0.182413,-0.2382,0.1593,0.1829,0.34
0.185573,-0.1317,0.2074,-0.0158,0.25
0.195735,-0.0428,0.2915,-0.1612,0.34
0.216465,0.0417,0.2557,-0.0884,0.27
0.216592,0.0975,0.0484,0.1349,0.17
0.233058,0.0687,-0.1739,0.3458,0.39
0.235119,-0.0053,-0.3223,0.4750,0.57
0.247022,-0.1122,-0.2893,0.5250,0.61
0.260517,-0.2476,-0.1593,0.4770,0.56
0.266711,-0.3055,-0.0521,0.4506,0.55
0.282603,-0.3361,-0.0478,0.4840,0.59
0.285084,-0.3697,0.0030,0.4549,0.59
0.300028,-0.2492,0.0079,0.3253,0.41
0.316460,0.0134,-0.0727,0.0884,0.12
0.316650,0.2108,-0.1622,-0.1860,0.32
0.336663,0.2887,-0.2735,-0.2828,0.49
0.336822,0.2361,-0.3587,-0.1283,0.45
0.349098,0.0945,-0.1764,0.0520,0.21
0.361214,0.0547,-0.0177,0.0764,0.10
0.366121,0.1174,0.0056,0.0123,0.12
0.384749,0.1064,0.0320,-0.1090,0.16
0.391457,0.0148,0.0955,-0.1605,0.19
0.399780,-0.0798,0.1055,-0.2166,0.25
0.411108,0.0257,-0.0079,-0.1576,0.16
0.415714,0.0248,-0.1009,-0.3899,0.40
0.425958,0.1695,-0.1380,-0.0552,0.23
0.435989,0.1183,-0.1343,0.2974,0.35
0.447659,-0.0728,-0.1415,0.3904,0.42
0.463306,-0.1063,-0.1935,0.2606,0.34
0.466145,-0.0337,-0.2509,0.0020,0.25
0.475787,0.0736,-0.3234,-0.1699,0.37
0.486425,0.0682,-0.2311,-0.1430,0.28
0.495543,0.0015,-0.0763,-0.1018,0.13
0.513102,-0.1143,0.0839,-0.2015,0.25
0.516088,-0.1012,0.1250,-0.0956,0.19
0.526983,-0.0433,0.1237,0.0051,0.13
0.535649,-0.0003,0.0366,0.0311,0.05
0.546145,-0.0612,-0.0721,-0.0352,0.10
0.562847,-0.1189,-0.1090,-0.0837,0.18
0.566800,-0.1060,-0.1117,-0.0797,0.17
0.578936,-0.0032,0.0243,-0.0875,0.09
0.586920,0.0815,-0.0372,-0.3585,0.37
