# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-08-27 23:11:50.651
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006321,-0.1289,0.0193,0.2371,0.27
0.006420,-0.0645,-0.0413,-0.3291,0.34
0.015760,0.1371,-0.0318,-0.7821,0.79
0.028429,0.2773,-0.2326,-1.0811,1.14
0.032061,0.1680,-0.1613,-0.7239,0.76
0.049262,-0.0011,0.0785,-0.2296,0.24
0.051292,-0.0361,0.1430,-0.0049,0.15
0.063300,-0.0334,0.0827,0.0966,0.13
0.080802,-0.0098,0.0635,0.0292,0.07
0.081502,0.0369,0.0867,-0.1649,0.19
0.099593,0.1204,0.0731,-0.3755,0.40
0.102043,0.1554,-0.0029,-0.5150,0.54
0.115769,0.1100,-0.0125,-0.5444,0.56
0.131798,0.0525,0.0235,-0.5198,0.52
0.131922,0.0560,0.0187,-0.4584,0.46
0.148725,0.1138,-0.0478,-0.3112,0.33
0.152746,0.1564,-0.1037,-0.1076,0.22
0.168791,0.1110,-0.1112,0.1047,0.19
0.183669,0.0250,-0.0934,0.2763,0.29
0.183810,-0.0920,-0.0496,0.4650,0.48
0.199347,-0.2472,-0.0371,0.6376,0.68
0.202516,-0.3815,-0.0487,0.7733,0.86
0.216925,-0.4528,-0.0465,0.7853,0.91
0.232330,-0.3944,-0.0316,0.6539,0.76
0.232510,-0.2319,0.0160,0.3701,0.44
0.250620,-0.0316,0.0360,-0.0255,0.05
0.252655,0.1389,0.0306,-0.4494,0.47
0.264319,0.2244,0.0236,-0.7795,0.81
0.282152,0.2478,0.0260,-0.9132,0.95
0.282285,0.2030,0.0744,-0.8339,0.86
0.300858,0.1557,0.0821,-0.6086,0.63
0.302960,0.1132,0.0603,-0.3353,0.36
0.316795,0.1277,-0.0097,0.1055,0.17
0.329959,0.1324,-0.0231,0.5603,0.58
0.332959,0.0189,-0.0284,0.8446,0.85
0.343904,-0.0627,-0.0625,0.9322,0.94
0.354270,-0.1319,-0.0893,0.7590,0.78
0.362369,-0.1684,-0.0713,0.4498,0.49
0.384165,-0.1384,-0.0107,0.0864,0.16
0.384347,-0.0876,0.0342,-0.2113,0.23
0.398820,-0.0605,0.0472,-0.3553,0.36
0.402790,-0.0465,0.0186,-0.3839,0.39
0.413449,-0.0362,-0.0215,-0.3096,0.31
0.432134,-0.0212,-0.0499,-0.2043,0.21
0.432281,0.0336,-0.0868,0.0034,0.09
0.447929,0.0548,-0.1163,0.1939,0.23
0.453297,0.0413,-0.1218,0.2999,0.33
0.465142,-0.0342,-0.0886,0.3075,0.32
0.481051,-0.1145,-0.0420,0.2623,0.29
0.482165,-0.1767,0.0357,0.2004,0.27
0.496792,-0.1777,0.0762,0.1388,0.24
0.502786,-0.1620,0.0540,-0.4593,0.49
0.514926,0.0804,0.0157,-0.9371,0.94
0.526614,0.3377,-0.0228,0.0487,0.34
0.532492,0.1598,-0.0521,0.8540,0.87
0.543246,-0.1793,-0.0549,0.9413,0.96
0.560782,-0.3667,-0.0510,0.5045,0.63
0.563177,-0.3089,-0.0558,0.0614,0.32
0.578906,-0.1802,-0.0408,-0.1607,0.24
0.582503,-0.1096,-0.0382,-0.2195,0.25
0.597389,-0.0646,-0.0855,-0.1515,0.19
0.602867,0.0175,-0.2202,0.0023,0.22
0.616560,0.0113,-0.2143,0.0431,0.22
0.633784,-0.0563,-0.0914,0.0644,0.13
0.633963,-0.0135,-0.0198,0.0689,0.07
0.649164,0.0672,0.0024,0.0733,0.10
0.660947,0.1000,-0.0029,0.0682,0.12
0.662523,0.0749,-0.0138,0.0797,0.11
0.676951,0.0273,0.0029,0.0792,0.08
0.683237,-0.0377,0.0636,0.1097,0.13
0.693213,-0.0392,0.0999,0.1851,0.21
0.710958,-0.0124,0.0968,0.1225,0.16
0.713004,-0.0013,0.1129,0.0562,0.13
0.731942,-0.0201,0.1035,0.0264,0.11
0.733132,-0.0374,0.0813,-0.0123,0.09
0.743590,-0.0333,0.0207,-0.0360,0.05
0.760664,-0.0136,-0.0430,-0.0498,0.07
0.763107,0.0084,-0.0895,-0.0067,0.09
0.779776,0.0104,-0.0991,0.0944,0.14
0.784067,-0.0103,-0.1197,0.1372,0.18
0.795077,-0.0418,-0.1177,0.1249,0.18
0.813491,-0.0631,-0.0923,0.0870,0.14
0.813622,-0.0896,-0.0645,0.0521,0.12
0.831939,-0.1236,-0.0650,0.0107,0.14
0.834119,-0.1195,-0.0514,-0.0136,0.13
0.848907,-0.0891,-0.0382,-0.0162,0.10
0.861824,-0.0685,-0.0324,-0.0188,0.08
0.862963,-0.0828,-0.0218,-0.0189,0.09
0.877784,-0.1014,-0.0087,-0.0142,0.10
0.884245,-0.1264,-0.0287,0.0022,0.13
0.893337,-0.1410,-0.0509,0.0254,0.15
0.908974,-0.1199,-0.0737,0.1094,0.18
0.913196,-0.0925,-0.0953,0.1353,0.19
0.927141,-0.0252,-0.1244,0.1322,0.18
0.933131,-0.0040,-0.1270,0.0608,0.14
0.944692,-0.0317,-0.0889,-0.0448,0.10
0.958229,-0.0607,-0.0653,-0.0685,0.11
0.964413,-0.0508,-0.0522,-0.0093,0.07
0.978086,-0.0102,-0.0520,0.0747,0.09
0.983569,0.0548,-0.0390,0.0935,0.12
0.993955,0.1437,-0.0059,0.0624,0.16
1.013108,0.1883,0.0201,-0.0388,0.19
1.013316,0.1707,0.0742,-0.1476,0.24
1.035011,0.1779,0.0838,-0.1906,0.27
1.035206,0.1731,0.0637,-0.1219,0.22
1.045999,0.1098,0.0444,-0.0260,0.12
1.064814,0.0710,0.0504,0.0540,0.10
1.064912,0.0242,0.1190,0.1514,0.19
1.075795,-0.0153,0.1126,0.1458,0.18
1.084396,-0.0248,0.0821,0.1050,0.14
1.094756,-0.0369,0.0819,0.0838,0.12
1.110834,-0.0587,0.0741,0.0559,0.11
1.114120,-0.0860,0.0521,0.0522,0.11
1.129600,-0.1170,0.0210,0.0463,0.13
1.133537,-0.1098,-0.0123,0.0476,0.12
1.143591,-0.1002,-0.0266,0.0488,0.11
1.158886,-0.0606,-0.0458,0.0406,0.09
1.163086,-0.0296,-0.0556,0.0207,0.07
1.175837,-0.0163,-0.0817,0.0199,0.09
1.183735,-0.0477,-0.1049,-0.0303,0.12
1.194501,-0.1017,-0.1037,-0.0701,0.16
1.210650,-0.1689,-0.0785,-0.0714,0.20
1.213524,-0.2020,-0.0608,-0.0445,0.22
1.229272,-0.1625,-0.0486,0.0196,0.17
1.233290,-0.0545,-0.0588,0.0731,0.11
1.243927,0.0997,-0.0441,0.0972,0.15
1.260427,0.2738,-0.0327,0.0784,0.29
1.264069,0.2932,-0.0282,-0.0482,0.30
1.277527,0.1722,-0.0201,-0.1723,0.24
1.284148,0.0640,-0.0103,-0.2279,0.24
1.295800,0.0374,0.0102,-0.2046,0.21
1.312149,0.0638,0.0469,-0.0802,0.11
1.313711,0.1505,0.0836,0.0915,0.19
1.331196,0.2218,0.1038,0.1541,0.29
1.334244,0.2303,0.0989,0.0810,0.26
1.346382,0.1658,0.0997,-0.0310,0.20
1.362705,0.0981,0.0999,-0.1739,0.22
1.363772,0.0433,0.1073,-0.1963,0.23
1.381267,0.0045,0.1068,-0.1471,0.18
1.384313,-0.0265,0.1117,-0.0514,0.13
1.400040,-0.0632,0.0968,0.0829,0.14
1.413625,-0.1163,0.0496,0.2054,0.24
1.413834,-0.1632,0.0171,0.2998,0.34
1.426016,-0.1649,-0.0364,0.3639,0.40
1.433845,-0.1105,-0.0888,0.3418,0.37
1.444004,-0.0734,-0.1525,0.2375,0.29
1.460171,-0.0651,-0.1889,0.0713,0.21
1.464616,-0.0767,-0.2092,-0.1083,0.25
1.480100,-0.0718,-0.2108,-0.2162,0.31
1.484263,-0.0414,-0.1941,-0.2514,0.32
1.496089,-0.0125,-0.1668,-0.2244,0.28
1.514593,-0.0017,-0.1790,-0.2142,0.28
1.514781,-0.0329,-0.1811,-0.2087,0.28
1.531372,-0.1065,-0.1568,-0.1939,0.27
1.535026,-0.1989,-0.1138,-0.1159,0.26
1.547996,-0.2568,-0.0577,-0.0158,0.26
1.564323,-0.2361,-0.0269,0.1058,0.26
1.564882,-0.1659,-0.0125,0.2063,0.27
1.580740,-0.0928,0.0065,0.2673,0.28
1.597090,-0.0589,0.0277,0.2802,0.29
1.597266,-0.0079,0.0068,0.2479,0.25
1.615095,0.0194,-0.0001,0.1618,0.16
1.615289,0.0737,-0.0139,0.0630,0.10
1.630610,0.1323,-0.0339,-0.0223,0.14
1.634945,0.1448,-0.0522,-0.0941,0.18
1.648044,0.1203,-0.0286,-0.1524,0.20
1.663638,0.0858,-0.0200,-0.1950,0.21
1.665763,0.0523,0.0041,-0.1964,0.20
1.680927,0.0179,0.0429,-0.1269,0.14
1.697459,-0.0005,0.0766,-0.0375,0.09
1.697636,-0.0049,0.0909,0.0335,0.10
1.713611,0.0200,0.0785,0.0723,0.11
1.716177,0.0484,0.0497,0.0487,0.08
1.728470,0.0577,0.0025,-0.0007,0.06
1.744339,0.0058,-0.0249,-0.0752,0.08
1.745709,-0.0388,-0.0259,-0.1033,0.11
1.760811,-0.0829,-0.0216,-0.0977,0.13
1.764906,-0.0988,-0.0242,-0.0519,0.11
1.776341,-0.0854,-0.0242,-0.0113,0.09
1.796665,-0.0302,-0.0101,0.0662,0.07
1.796974,0.0178,-0.0013,0.1257,0.13
1.813669,0.0147,0.0117,0.0569,0.06
1.815544,0.0060,0.0218,0.0033,0.02
1.828963,0.0086,0.0131,-0.0566,0.06
1.846588,0.0359,0.0172,-0.0709,0.08
1.846759,0.0286,0.0180,-0.0711,0.08
